Temperature,Year,Month,Country,ISO3
23.35,1999,Jul,Kenya,KEN
23.8,1999,Aug,Kenya,KEN
24.68,1999,Sep,Kenya,KEN
25.05,1999,Oct,Kenya,KEN
24.62,1999,Nov,Kenya,KEN
24.1,1999,Dec,Kenya,KEN
25.4,2000,Jan,Kenya,KEN
26.51,2000,Feb,Kenya,KEN
27.13,2000,Mar,Kenya,KEN
26.27,2000,Apr,Kenya,KEN
25.45,2000,May,Kenya,KEN
24.18,2000,Jun,Kenya,KEN
23.38,2000,Jul,Kenya,KEN
23.62,2000,Aug,Kenya,KEN
24.41,2000,Sep,Kenya,KEN
25.24,2000,Oct,Kenya,KEN
25.06,2000,Nov,Kenya,KEN
25.34,2000,Dec,Kenya,KEN
25.4,2001,Jan,Kenya,KEN
26.36,2001,Feb,Kenya,KEN
26.62,2001,Mar,Kenya,KEN
25.38,2001,Apr,Kenya,KEN
25.6,2001,May,Kenya,KEN
24.04,2001,Jun,Kenya,KEN
23.2,2001,Jul,Kenya,KEN
23.83,2001,Aug,Kenya,KEN
24.78,2001,Sep,Kenya,KEN
25.61,2001,Oct,Kenya,KEN
24.38,2001,Nov,Kenya,KEN
25.26,2001,Dec,Kenya,KEN
25.87,2002,Jan,Kenya,KEN
26.64,2002,Feb,Kenya,KEN
26.57,2002,Mar,Kenya,KEN
25.46,2002,Apr,Kenya,KEN
24.78,2002,May,Kenya,KEN
24.1,2002,Jun,Kenya,KEN
24.08,2002,Jul,Kenya,KEN
23.96,2002,Aug,Kenya,KEN
24.8,2002,Sep,Kenya,KEN
25.33,2002,Oct,Kenya,KEN
24.91,2002,Nov,Kenya,KEN
24.91,2002,Dec,Kenya,KEN
25.93,2003,Jan,Kenya,KEN
27.23,2003,Feb,Kenya,KEN
27.35,2003,Mar,Kenya,KEN
26.22,2003,Apr,Kenya,KEN
24.92,2003,May,Kenya,KEN
24.3,2003,Jun,Kenya,KEN
23.69,2003,Jul,Kenya,KEN
23.46,2003,Aug,Kenya,KEN
24.72,2003,Sep,Kenya,KEN
25.71,2003,Oct,Kenya,KEN
24.95,2003,Nov,Kenya,KEN
25.1,2003,Dec,Kenya,KEN
26.12,2004,Jan,Kenya,KEN
26.74,2004,Feb,Kenya,KEN
27.37,2004,Mar,Kenya,KEN
25.57,2004,Apr,Kenya,KEN
25.52,2004,May,Kenya,KEN
24.2,2004,Jun,Kenya,KEN
23.76,2004,Jul,Kenya,KEN
24.03,2004,Aug,Kenya,KEN
25.18,2004,Sep,Kenya,KEN
25.34,2004,Oct,Kenya,KEN
24.48,2004,Nov,Kenya,KEN
25.19,2004,Dec,Kenya,KEN
26.01,2005,Jan,Kenya,KEN
27.0,2005,Feb,Kenya,KEN
27.45,2005,Mar,Kenya,KEN
26.61,2005,Apr,Kenya,KEN
25.57,2005,May,Kenya,KEN
24.76,2005,Jun,Kenya,KEN
23.66,2005,Jul,Kenya,KEN
24.04,2005,Aug,Kenya,KEN
25.05,2005,Sep,Kenya,KEN
25.84,2005,Oct,Kenya,KEN
25.32,2005,Nov,Kenya,KEN
26.22,2005,Dec,Kenya,KEN
26.41,2006,Jan,Kenya,KEN
27.41,2006,Feb,Kenya,KEN
27.2,2006,Mar,Kenya,KEN
25.37,2006,Apr,Kenya,KEN
25.65,2006,May,Kenya,KEN
24.93,2006,Jun,Kenya,KEN
24.13,2006,Jul,Kenya,KEN
24.37,2006,Aug,Kenya,KEN
25.11,2006,Sep,Kenya,KEN
25.38,2006,Oct,Kenya,KEN
24.21,2006,Nov,Kenya,KEN
24.51,2006,Dec,Kenya,KEN
25.63,2007,Jan,Kenya,KEN
26.89,2007,Feb,Kenya,KEN
27.02,2007,Mar,Kenya,KEN
26.27,2007,Apr,Kenya,KEN
25.83,2007,May,Kenya,KEN
24.44,2007,Jun,Kenya,KEN
24.05,2007,Jul,Kenya,KEN
24.25,2007,Aug,Kenya,KEN
24.92,2007,Sep,Kenya,KEN
25.33,2007,Oct,Kenya,KEN
24.83,2007,Nov,Kenya,KEN
25.22,2007,Dec,Kenya,KEN
25.75,2008,Jan,Kenya,KEN
26.37,2008,Feb,Kenya,KEN
26.47,2008,Mar,Kenya,KEN
25.43,2008,Apr,Kenya,KEN
25.38,2008,May,Kenya,KEN
24.17,2008,Jun,Kenya,KEN
